product_id,current_price,competitor_price,inventory_level,demand_score,historical_sales,seasonal_index,category,recommended_price,predicted_demand,expected_profit
7,259.5650550434659,497.3863716728004,180,121,248,0.8609765026230038,Electronics,469.0279824417675,246.90368939770622,61.261258318849954
20,266.3766401400831,207.7188292395373,95,128,993,1.1411691091704301,Office Supplies,323.84818419806714,468.0520145240543,42.42251240043511
15,463.3046262226855,108.24295306857769,26,68,322,1.2839912402592064,Industrial,190.51899550339039,532.4023759650736,-70.22619581789077
11,314.18070086145525,284.539735502638,105,52,921,0.9832257700941378,Electronics,334.8358135393714,221.35691394558575,34.31811003778459
8,64.78100160954726,102.54810053073017,159,21,903,1.2369685158982628,Electronics,141.762283854483,514.2890499523987,68.01215394270113
7,460.737258295608,290.43782900365767,125,49,517,1.3805696050996623,Office Supplies,456.6509205368798,334.6097973762198,29.37360546043645
19,161.70189924071835,509.7500765158009,97,127,975,0.9332358825665333,Electronics,604.0234282097939,294.04144019115006,81.26044054218566
11,309.93437934119623,307.9879116262774,199,29,791,1.442054414277404,Electronics,515.543795711919,233.0722274606213,57.917432555027936
11,124.48099284258822,356.33236208201714,112,140,431,1.1874909728636507,Industrial,542.1952545676737,451.2253258794731,83.9289085886059
4,65.24562211096774,124.1024106717732,145,99,486,1.0094624030107424,Industrial,181.73459796285616,523.8492509903348,74.86888243095457
8,190.16292700974083,67.08649106938459,177,103,605,1.1016007927675895,Industrial,138.1704022201365,618.7594430991159,3.659505387602501
3,401.22306839573946,100.95802090080255,14,22,428,1.0185343186504716,Furniture,138.3317574908795,368.9130137154954,-103.03085348679603
2,174.91422768323815,347.25844572060464,13,75,268,1.3075778119533212,Office Supplies,518.9911851669897,351.23428594902657,76.40808497761468
12,149.04374633649368,92.98090799111385,186,46,708,1.3574104643905924,Industrial,172.23615563767297,466.666333341671,39.42582958306259
6,145.70635295355183,234.87640942036225,159,75,536,1.3830561746230627,Furniture,372.9523337374663,463.9446461964261,72.65214939255921
2,281.82815708306566,322.7964299313688,38,45,147,1.4900377747100189,Furniture,562.0352434231905,281.6142414105367,64.8990499676544
1,488.99359205724033,241.26966330807275,133,35,117,1.3538990047476784,Office Supplies,348.31021884665563,271.80988708178427,1.72682398653237
12,256.5450446076559,127.66031973997725,164,84,849,1.2209688494819944,Office Supplies,237.67305208606274,513.1993562414656,24.441778464505255
12,300.78741600052155,183.2646102946238,93,117,366,1.0374542088742487,Electronics,272.5782719786047,432.67024522472434,22.75569520930423
17,437.2844080508303,513.8003540885313,97,52,849,1.1812168140975245,Furniture,618.2440928082194,213.5415427902486,50.488959102673746
10,290.7813735201464,386.37104917110946,75,17,65,0.8287477209532839,Industrial,345.45267629853896,138.04279046618316,41.07819234603413
